FUND TYPE,DEPARTMENT CODE,DEPARTMENT DESCRIPTION,FUND CODE,FUND DESCRIPTION,ORGANIZATION CODE,DIVISION CODE,DIVISION DESCRIPTION,SECTION CODE,SECTION DESCRIPTION,SUB-SECTION CODE,SUB-SECTION DESCRIPTION,SCHEDULE/GRADE,BARGAINING UNIT,TITLE CODE,TITLE DESCRIPTION,BUDGETED UNIT,TOTAL BUDGETED UNIT,POSITION CONTROL,BUDGETED PAY RATE,TOTAL BUDGETED AMOUNT
LOCAL,91,CHICAGO PUBLIC LIBRARY,346,LIB F MAINT/OPERATN,1005,2005,CHICAGO PUBLIC LIBRARY,3005,Administration and Support Services,0,,3 0,9,311,Projects Administrator,Annual,1,1,92988.00,92988.00
LOCAL,91,CHICAGO PUBLIC LIBRARY,346,LIB F MAINT/OPERATN,1005,2005,CHICAGO PUBLIC LIBRARY,3005,Administration and Support Services,0,,BX 16,20,309,Coordinator of Special Projects,Annual,1,1,80916.00,80916.00
LOCAL,91,CHICAGO PUBLIC LIBRARY,346,LIB F MAINT/OPERATN,1005,2005,CHICAGO PUBLIC LIBRARY,3005,Administration and Support Services,0,,BX 16,20,309,Coordinator of Special Projects,Annual,1,1,84780.00,84780.00
LOCAL,91,CHICAGO PUBLIC LIBRARY,346,LIB F MAINT/OPERATN,1005,2005,CHICAGO PUBLIC LIBRARY,3005,Administration and Support Services,0,,BX 13,20,308,Staff Assistant,Annual,1,1,60408.00,60408.00
LOCAL,91,CHICAGO PUBLIC LIBRARY,346,LIB F MAINT/OPERATN,1005,2005,CHICAGO PUBLIC LIBRARY,3005,Administration and Support Services,0,,BX 13,20,308,Staff Assistant,Annual,1,1,64152.00,64152.00
LOCAL,91,CHICAGO PUBLIC LIBRARY,346,LIB F MAINT/OPERATN,1005,2005,CHICAGO PUBLIC LIBRARY,3005,Administration and Support Services,0,,B 12,1,303,Administrative Assistant III,Annual,1,1,57828.00,57828.00
LOCAL,91,CHICAGO PUBLIC LIBRARY,346,LIB F MAINT/OPERATN,1005,2005,CHICAGO PUBLIC LIBRARY,3005,Administration and Support Services,0,,B 12,1,303,Administrative Assistant III,Annual,1,1,60600.00,60600.00
LOCAL,91,CHICAGO PUBLIC LIBRARY,346,LIB F MAINT/OPERATN,1005,2005,CHICAGO PUBLIC LIBRARY,3005,Administration and Support Services,0,,B 12,1,303,Administrative Assistant III,Annual,1,1,63456.00,63456.00
LOCAL,91,CHICAGO PUBLIC LIBRARY,346,LIB F MAINT/OPERATN,1005,2005,CHICAGO PUBLIC LIBRARY,3005,Administration and Support Services,0,,B 12,1,303,Administrative Assistant III,Annual,2,1,76428.00,152856.00
LOCAL,91,CHICAGO PUBLIC LIBRARY,346,LIB F MAINT/OPERATN,1005,2005,CHICAGO PUBLIC LIBRARY,3005,Administration and Support Services,0,,B 10,1,302,Administrative Assistant II,Annual,1,1,52740.00,52740.00
LOCAL,91,CHICAGO PUBLIC LIBRARY,346,LIB F MAINT/OPERATN,1005,2005,CHICAGO PUBLIC LIBRARY,3005,Administration and Support Services,0,,B 10,1,302,Administrative Assistant II,Annual,2,1,45372.00,90744.00
LOCAL,91,CHICAGO PUBLIC LIBRARY,346,LIB F MAINT/OPERATN,1005,2005,CHICAGO PUBLIC LIBRARY,3005,Administration and Support Services,0,,B 11,1,190,Accounting Technician II,Annual,1,1,57828.00,57828.00
LOCAL,91,CHICAGO PUBLIC LIBRARY,346,LIB F MAINT/OPERATN,1005,2005,CHICAGO PUBLIC LIBRARY,3005,Administration and Support Services,0,,B 11,1,190,Accounting Technician II,Annual,1,1,69648.00,69648.00
LOCAL,91,CHICAGO PUBLIC LIBRARY,346,LIB F MAINT/OPERATN,1005,2005,CHICAGO PUBLIC LIBRARY,3005,Administration and Support Services,0,,G 6,4,103,Accountant III,Annual,3,1,83640.00,250920.00
LOCAL,91,CHICAGO PUBLIC LIBRARY,346,LIB F MAINT/OPERATN,1005,2005,CHICAGO PUBLIC LIBRARY,3005,Administration and Support Services,0,,G 5,4,102,Accountant II,Annual,1,1,76524.00,76524.00
LOCAL,91,CHICAGO PUBLIC LIBRARY,346,LIB F MAINT/OPERATN,1005,2005,CHICAGO PUBLIC LIBRARY,3005,Administration and Support Services,0,,G 4,4,101,Accountant I,Annual,1,1,62292.00,62292.00
LOCAL,91,CHICAGO PUBLIC LIBRARY,346,LIB F MAINT/OPERATN,1005,2005,CHICAGO PUBLIC LIBRARY,3005,Administration and Support Services,0,,G 4,4,101,Accountant I,Annual,1,1,69300.00,69300.00
LOCAL,91,CHICAGO PUBLIC LIBRARY,346,LIB F MAINT/OPERATN,1005,2005,CHICAGO PUBLIC LIBRARY,3005,Administration and Support Services,0,,1 0,0,15,Schedule Salary Adjustments,Annual,0,0,23896.00,23896.00
LOCAL,91,CHICAGO PUBLIC LIBRARY,346,LIB F MAINT/OPERATN,1005,2005,CHICAGO PUBLIC LIBRARY,3010,References and Circulation Services,0,,BX 15,10,1912,Project Coordinator,Annual,1,1,63516.00,63516.00
LOCAL,91,CHICAGO PUBLIC LIBRARY,346,LIB F MAINT/OPERATN,1005,2005,CHICAGO PUBLIC LIBRARY,3010,References and Circulation Services,0,,B 6,5,902,Audio Equipment Technician,Annual,1,1,34380.00,34380.00
LOCAL,91,CHICAGO PUBLIC LIBRARY,346,LIB F MAINT/OPERATN,1005,2005,CHICAGO PUBLIC LIBRARY,3010,References and Circulation Services,0,,B 11,5,901,Audio-Visual Specialist,Annual,1,1,57828.00,57828.00
LOCAL,91,CHICAGO PUBLIC LIBRARY,346,LIB F MAINT/OPERATN,1005,2005,CHICAGO PUBLIC LIBRARY,3010,References and Circulation Services,0,,B 11,5,901,Audio-Visual Specialist,Annual,1,1,69648.00,69648.00
LOCAL,91,CHICAGO PUBLIC LIBRARY,346,LIB F MAINT/OPERATN,1005,2005,CHICAGO PUBLIC LIBRARY,3010,References and Circulation Services,0,,BX 11,10,840,Assistant Supervisor of Data Entry Operators,Annual,1,1,50160.00,50160.00
LOCAL,91,CHICAGO PUBLIC LIBRARY,346,LIB F MAINT/OPERATN,1005,2005,CHICAGO PUBLIC LIBRARY,3010,References and Circulation Services,0,,B 8,1,664,Data Entry Operator,Annual,1,1,39912.00,39912.00
LOCAL,91,CHICAGO PUBLIC LIBRARY,346,LIB F MAINT/OPERATN,1005,2005,CHICAGO PUBLIC LIBRARY,3010,References and Circulation Services,0,,G 7,5,579,Librarian IV,Annual,38,1,91224.00,3466512.00
LOCAL,91,CHICAGO PUBLIC LIBRARY,346,LIB F MAINT/OPERATN,1005,2005,CHICAGO PUBLIC LIBRARY,3010,References and Circulation Services,0,,G 3,5,575,Library Associate - Hourly,Hourly,0,0,22.72,171763.00
LOCAL,91,CHICAGO PUBLIC LIBRARY,346,LIB F MAINT/OPERATN,1005,2005,CHICAGO PUBLIC LIBRARY,3010,References and Circulation Services,0,,G 6,5,574,Librarian III,Annual,1,1,59268.00,59268.00
LOCAL,91,CHICAGO PUBLIC LIBRARY,346,LIB F MAINT/OPERATN,1005,2005,CHICAGO PUBLIC LIBRARY,3010,References and Circulation Services,0,,G 6,5,574,Librarian III,Annual,1,1,65424.00,65424.00
LOCAL,91,CHICAGO PUBLIC LIBRARY,346,LIB F MAINT/OPERATN,1005,2005,CHICAGO PUBLIC LIBRARY,3010,References and Circulation Services,0,,G 6,5,574,Librarian III,Annual,2,1,62292.00,124584.00
LOCAL,91,CHICAGO PUBLIC LIBRARY,346,LIB F MAINT/OPERATN,1005,2005,CHICAGO PUBLIC LIBRARY,3010,References and Circulation Services,0,,G 6,5,574,Librarian III,Annual,2,1,75768.00,151536.00
LOCAL,91,CHICAGO PUBLIC LIBRARY,346,LIB F MAINT/OPERATN,1005,2005,CHICAGO PUBLIC LIBRARY,3010,References and Circulation Services,0,,G 6,5,574,Librarian III,Annual,3,1,68616.00,205848.00
LOCAL,91,CHICAGO PUBLIC LIBRARY,346,LIB F MAINT/OPERATN,1005,2005,CHICAGO PUBLIC LIBRARY,3010,References and Circulation Services,0,,G 6,5,574,Librarian III,Annual,3,1,72156.00,216468.00
LOCAL,91,CHICAGO PUBLIC LIBRARY,346,LIB F MAINT/OPERATN,1005,2005,CHICAGO PUBLIC LIBRARY,3010,References and Circulation Services,0,,G 6,5,574,Librarian III,Annual,4,1,79212.00,316848.00
LOCAL,91,CHICAGO PUBLIC LIBRARY,346,LIB F MAINT/OPERATN,1005,2005,CHICAGO PUBLIC LIBRARY,3010,References and Circulation Services,0,,G 6,5,574,Librarian III,Annual,48,1,83640.00,4014720.00
LOCAL,91,CHICAGO PUBLIC LIBRARY,346,LIB F MAINT/OPERATN,1005,2005,CHICAGO PUBLIC LIBRARY,3010,References and Circulation Services,0,,G 3,5,573,Library Associate,Annual,1,1,44316.00,44316.00
LOCAL,91,CHICAGO PUBLIC LIBRARY,346,LIB F MAINT/OPERATN,1005,2005,CHICAGO PUBLIC LIBRARY,3010,References and Circulation Services,0,,G 3,5,573,Library Associate,Annual,4,1,53808.00,215232.00
LOCAL,91,CHICAGO PUBLIC LIBRARY,346,LIB F MAINT/OPERATN,1005,2005,CHICAGO PUBLIC LIBRARY,3010,References and Circulation Services,0,,G 3,5,573,Library Associate,Annual,4,1,59268.00,237072.00
LOCAL,91,CHICAGO PUBLIC LIBRARY,346,LIB F MAINT/OPERATN,1005,2005,CHICAGO PUBLIC LIBRARY,3010,References and Circulation Services,0,,G 3,5,573,Library Associate,Annual,8,1,56472.00,451776.00
LOCAL,91,CHICAGO PUBLIC LIBRARY,346,LIB F MAINT/OPERATN,1005,2005,CHICAGO PUBLIC LIBRARY,3010,References and Circulation Services,0,,G 3,5,573,Library Associate,Annual,34,1,62916.00,2139144.00
LOCAL,91,CHICAGO PUBLIC LIBRARY,346,LIB F MAINT/OPERATN,1005,2005,CHICAGO PUBLIC LIBRARY,3010,References and Circulation Services,0,,G 3,5,572,Community Center Director - CPL,Annual,1,1,62916.00,62916.00
LOCAL,91,CHICAGO PUBLIC LIBRARY,346,LIB F MAINT/OPERATN,1005,2005,CHICAGO PUBLIC LIBRARY,3010,References and Circulation Services,0,,4 0,5,539,Library Page,Hourly,0,0,0.00,0.00
LOCAL,91,CHICAGO PUBLIC LIBRARY,346,LIB F MAINT/OPERATN,1005,2005,CHICAGO PUBLIC LIBRARY,3010,References and Circulation Services,0,,4 0,5,539,Library Page,Hourly,0,0,0.00,0.00
LOCAL,91,CHICAGO PUBLIC LIBRARY,346,LIB F MAINT/OPERATN,1005,2005,CHICAGO PUBLIC LIBRARY,3010,References and Circulation Services,0,,3 0,10,527,Library Division Chief,Annual,1,1,91152.00,91152.00
LOCAL,91,CHICAGO PUBLIC LIBRARY,346,LIB F MAINT/OPERATN,1005,2005,CHICAGO PUBLIC LIBRARY,3010,References and Circulation Services,0,,3 0,10,527,Library Division Chief,Annual,1,1,101700.00,101700.00
LOCAL,91,CHICAGO PUBLIC LIBRARY,346,LIB F MAINT/OPERATN,1005,2005,CHICAGO PUBLIC LIBRARY,3010,References and Circulation Services,0,,3 0,10,527,Library Division Chief,Annual,2,1,98712.00,197424.00
LOCAL,91,CHICAGO PUBLIC LIBRARY,346,LIB F MAINT/OPERATN,1005,2005,CHICAGO PUBLIC LIBRARY,3010,References and Circulation Services,0,,3 0,20,517,District Chief,Annual,2,1,101700.00,203400.00
LOCAL,91,CHICAGO PUBLIC LIBRARY,346,LIB F MAINT/OPERATN,1005,2005,CHICAGO PUBLIC LIBRARY,3010,References and Circulation Services,0,,3 0,20,517,District Chief,Annual,2,1,110352.00,220704.00
LOCAL,91,CHICAGO PUBLIC LIBRARY,346,LIB F MAINT/OPERATN,1005,2005,CHICAGO PUBLIC LIBRARY,3010,References and Circulation Services,0,,3 0,20,514,Regional Library Director,Annual,1,1,102708.00,102708.00
LOCAL,91,CHICAGO PUBLIC LIBRARY,346,LIB F MAINT/OPERATN,1005,2005,CHICAGO PUBLIC LIBRARY,3010,References and Circulation Services,0,,G 5,5,506,Librarian II,Annual,1,1,59268.00,59268.00
LOCAL,91,CHICAGO PUBLIC LIBRARY,346,LIB F MAINT/OPERATN,1005,2005,CHICAGO PUBLIC LIBRARY,3010,References and Circulation Services,0,,G 5,5,506,Librarian II,Annual,1,1,62292.00,62292.00
LOCAL,91,CHICAGO PUBLIC LIBRARY,346,LIB F MAINT/OPERATN,1005,2005,CHICAGO PUBLIC LIBRARY,3010,References and Circulation Services,0,,G 5,5,506,Librarian II,Annual,1,1,65424.00,65424.00
LOCAL,91,CHICAGO PUBLIC LIBRARY,346,LIB F MAINT/OPERATN,1005,2005,CHICAGO PUBLIC LIBRARY,3010,References and Circulation Services,0,,G 5,5,506,Librarian II,Annual,4,1,68616.00,274464.00
LOCAL,91,CHICAGO PUBLIC LIBRARY,346,LIB F MAINT/OPERATN,1005,2005,CHICAGO PUBLIC LIBRARY,3010,References and Circulation Services,0,,G 5,5,506,Librarian II,Annual,8,1,72156.00,577248.00
LOCAL,91,CHICAGO PUBLIC LIBRARY,346,LIB F MAINT/OPERATN,1005,2005,CHICAGO PUBLIC LIBRARY,3010,References and Circulation Services,0,,G 5,5,506,Librarian II,Annual,38,1,76524.00,2907912.00
LOCAL,91,CHICAGO PUBLIC LIBRARY,346,LIB F MAINT/OPERATN,1005,2005,CHICAGO PUBLIC LIBRARY,3010,References and Circulation Services,0,,G 4,5,501,Librarian I,Annual,2,1,53808.00,107616.00
LOCAL,91,CHICAGO PUBLIC LIBRARY,346,LIB F MAINT/OPERATN,1005,2005,CHICAGO PUBLIC LIBRARY,3010,References and Circulation Services,0,,G 4,5,501,Librarian I,Annual,3,1,48828.00,146484.00
LOCAL,91,CHICAGO PUBLIC LIBRARY,346,LIB F MAINT/OPERATN,1005,2005,CHICAGO PUBLIC LIBRARY,3010,References and Circulation Services,0,,G 4,5,501,Librarian I,Annual,3,1,56472.00,169416.00
LOCAL,91,CHICAGO PUBLIC LIBRARY,346,LIB F MAINT/OPERATN,1005,2005,CHICAGO PUBLIC LIBRARY,3010,References and Circulation Services,0,,G 4,5,501,Librarian I,Annual,8,1,51180.00,409440.00
LOCAL,91,CHICAGO PUBLIC LIBRARY,346,LIB F MAINT/OPERATN,1005,2005,CHICAGO PUBLIC LIBRARY,3010,References and Circulation Services,0,,G 4,5,501,Librarian I,Annual,18,1,59268.00,1066824.00
LOCAL,91,CHICAGO PUBLIC LIBRARY,346,LIB F MAINT/OPERATN,1005,2005,CHICAGO PUBLIC LIBRARY,3010,References and Circulation Services,0,,G 4,5,501,Librarian I,Annual,18,1,65424.00,1177632.00
LOCAL,91,CHICAGO PUBLIC LIBRARY,346,LIB F MAINT/OPERATN,1005,2005,CHICAGO PUBLIC LIBRARY,3010,References and Circulation Services,0,,G 4,5,501,Librarian I,Annual,20,1,62292.00,1245840.00
LOCAL,91,CHICAGO PUBLIC LIBRARY,346,LIB F MAINT/OPERATN,1005,2005,CHICAGO PUBLIC LIBRARY,3010,References and Circulation Services,0,,G 4,5,501,Librarian I,Annual,43,1,69300.00,2979900.00
LOCAL,91,CHICAGO PUBLIC LIBRARY,346,LIB F MAINT/OPERATN,1005,2005,CHICAGO PUBLIC LIBRARY,3010,References and Circulation Services,0,,B 10,1,449,Head Library Clerk,Annual,2,1,45372.00,90744.00
LOCAL,91,CHICAGO PUBLIC LIBRARY,346,LIB F MAINT/OPERATN,1005,2005,CHICAGO PUBLIC LIBRARY,3010,References and Circulation Services,0,,B 10,1,449,Head Library Clerk,Annual,2,1,48048.00,96096.00
LOCAL,91,CHICAGO PUBLIC LIBRARY,346,LIB F MAINT/OPERATN,1005,2005,CHICAGO PUBLIC LIBRARY,3010,References and Circulation Services,0,,B 10,1,449,Head Library Clerk,Annual,4,1,50280.00,201120.00
LOCAL,91,CHICAGO PUBLIC LIBRARY,346,LIB F MAINT/OPERATN,1005,2005,CHICAGO PUBLIC LIBRARY,3010,References and Circulation Services,0,,B 10,1,449,Head Library Clerk,Annual,7,1,57828.00,404796.00
LOCAL,91,CHICAGO PUBLIC LIBRARY,346,LIB F MAINT/OPERATN,1005,2005,CHICAGO PUBLIC LIBRARY,3010,References and Circulation Services,0,,B 10,1,449,Head Library Clerk,Annual,7,1,60600.00,424200.00
LOCAL,91,CHICAGO PUBLIC LIBRARY,346,LIB F MAINT/OPERATN,1005,2005,CHICAGO PUBLIC LIBRARY,3010,References and Circulation Services,0,,B 10,1,449,Head Library Clerk,Annual,8,1,55212.00,441696.00
LOCAL,91,CHICAGO PUBLIC LIBRARY,346,LIB F MAINT/OPERATN,1005,2005,CHICAGO PUBLIC LIBRARY,3010,References and Circulation Services,0,,B 10,1,449,Head Library Clerk,Annual,9,1,52740.00,474660.00
LOCAL,91,CHICAGO PUBLIC LIBRARY,346,LIB F MAINT/OPERATN,1005,2005,CHICAGO PUBLIC LIBRARY,3010,References and Circulation Services,0,,B 10,1,449,Head Library Clerk,Annual,20,1,63456.00,1269120.00
LOCAL,91,CHICAGO PUBLIC LIBRARY,346,LIB F MAINT/OPERATN,1005,2005,CHICAGO PUBLIC LIBRARY,3010,References and Circulation Services,0,,B 8,1,448,Senior Library Clerk - Hourly,Hourly,0,0,0.00,0.00
LOCAL,91,CHICAGO PUBLIC LIBRARY,346,LIB F MAINT/OPERATN,1005,2005,CHICAGO PUBLIC LIBRARY,3010,References and Circulation Services,0,,B 8,1,447,Senior Library Clerk,Annual,1,1,43740.00,43740.00
LOCAL,91,CHICAGO PUBLIC LIBRARY,346,LIB F MAINT/OPERATN,1005,2005,CHICAGO PUBLIC LIBRARY,3010,References and Circulation Services,0,,B 8,1,447,Senior Library Clerk,Annual,2,1,35976.00,71952.00
LOCAL,91,CHICAGO PUBLIC LIBRARY,346,LIB F MAINT/OPERATN,1005,2005,CHICAGO PUBLIC LIBRARY,3010,References and Circulation Services,0,,B 8,1,447,Senior Library Clerk,Annual,4,1,37704.00,150816.00
LOCAL,91,CHICAGO PUBLIC LIBRARY,346,LIB F MAINT/OPERATN,1005,2005,CHICAGO PUBLIC LIBRARY,3010,References and Circulation Services,0,,B 8,1,447,Senior Library Clerk,Annual,6,1,50280.00,301680.00
LOCAL,91,CHICAGO PUBLIC LIBRARY,346,LIB F MAINT/OPERATN,1005,2005,CHICAGO PUBLIC LIBRARY,3010,References and Circulation Services,0,,B 8,1,447,Senior Library Clerk,Annual,7,1,41784.00,292488.00
LOCAL,91,CHICAGO PUBLIC LIBRARY,346,LIB F MAINT/OPERATN,1005,2005,CHICAGO PUBLIC LIBRARY,3010,References and Circulation Services,0,,B 8,1,447,Senior Library Clerk,Annual,7,1,45828.00,320796.00
LOCAL,91,CHICAGO PUBLIC LIBRARY,346,LIB F MAINT/OPERATN,1005,2005,CHICAGO PUBLIC LIBRARY,3010,References and Circulation Services,0,,B 8,1,447,Senior Library Clerk,Annual,8,1,39912.00,319296.00
LOCAL,91,CHICAGO PUBLIC LIBRARY,346,LIB F MAINT/OPERATN,1005,2005,CHICAGO PUBLIC LIBRARY,3010,References and Circulation Services,0,,B 8,1,447,Senior Library Clerk,Annual,13,1,48048.00,624624.00
LOCAL,91,CHICAGO PUBLIC LIBRARY,346,LIB F MAINT/OPERATN,1005,2005,CHICAGO PUBLIC LIBRARY,3010,References and Circulation Services,0,,B 8,1,447,Senior Library Clerk,Annual,21,1,52740.00,1107540.00
LOCAL,91,CHICAGO PUBLIC LIBRARY,346,LIB F MAINT/OPERATN,1005,2005,CHICAGO PUBLIC LIBRARY,3010,References and Circulation Services,0,,B 6,1,446,Library Clerk - Hourly,Hourly,0,0,0.00,0.00
LOCAL,91,CHICAGO PUBLIC LIBRARY,346,LIB F MAINT/OPERATN,1005,2005,CHICAGO PUBLIC LIBRARY,3010,References and Circulation Services,0,,B 6,1,445,Library Clerk,Annual,1,1,45828.00,45828.00
LOCAL,91,CHICAGO PUBLIC LIBRARY,346,LIB F MAINT/OPERATN,1005,2005,CHICAGO PUBLIC LIBRARY,3010,References and Circulation Services,0,,B 6,1,445,Library Clerk,Annual,4,1,39912.00,159648.00
LOCAL,91,CHICAGO PUBLIC LIBRARY,346,LIB F MAINT/OPERATN,1005,2005,CHICAGO PUBLIC LIBRARY,3010,References and Circulation Services,0,,B 6,1,445,Library Clerk,Annual,8,1,48048.00,384384.00
LOCAL,91,CHICAGO PUBLIC LIBRARY,346,LIB F MAINT/OPERATN,1005,2005,CHICAGO PUBLIC LIBRARY,3010,References and Circulation Services,0,,B 6,1,445,Library Clerk,Annual,17,1,34380.00,584460.00
LOCAL,91,CHICAGO PUBLIC LIBRARY,346,LIB F MAINT/OPERATN,1005,2005,CHICAGO PUBLIC LIBRARY,3010,References and Circulation Services,0,,B 6,1,445,Library Clerk,Annual,18,1,36348.00,654264.00
LOCAL,91,CHICAGO PUBLIC LIBRARY,346,LIB F MAINT/OPERATN,1005,2005,CHICAGO PUBLIC LIBRARY,3010,References and Circulation Services,0,,B 6,1,445,Library Clerk,Annual,21,1,38064.00,799344.00
LOCAL,91,CHICAGO PUBLIC LIBRARY,346,LIB F MAINT/OPERATN,1005,2005,CHICAGO PUBLIC LIBRARY,3010,References and Circulation Services,0,,BX 12,20,437,Supervising Clerk - Excluded,Annual,1,1,49668.00,49668.00
LOCAL,91,CHICAGO PUBLIC LIBRARY,346,LIB F MAINT/OPERATN,1005,2005,CHICAGO PUBLIC LIBRARY,3010,References and Circulation Services,0,,B 12,1,432,Supervising Clerk,Annual,1,1,54672.00,54672.00
LOCAL,91,CHICAGO PUBLIC LIBRARY,346,LIB F MAINT/OPERATN,1005,2005,CHICAGO PUBLIC LIBRARY,3010,References and Circulation Services,0,,B 12,1,432,Supervising Clerk,Annual,1,1,76428.00,76428.00
LOCAL,91,CHICAGO PUBLIC LIBRARY,346,LIB F MAINT/OPERATN,1005,2005,CHICAGO PUBLIC LIBRARY,3010,References and Circulation Services,0,,B 10,1,431,Clerk IV,Annual,1,1,55212.00,55212.00
LOCAL,91,CHICAGO PUBLIC LIBRARY,346,LIB F MAINT/OPERATN,1005,2005,CHICAGO PUBLIC LIBRARY,3010,References and Circulation Services,0,,B 8,1,430,Clerk III,Annual,1,1,37704.00,37704.00
LOCAL,91,CHICAGO PUBLIC LIBRARY,346,LIB F MAINT/OPERATN,1005,2005,CHICAGO PUBLIC LIBRARY,3010,References and Circulation Services,0,,B 8,1,430,Clerk III,Annual,1,1,43740.00,43740.00
LOCAL,91,CHICAGO PUBLIC LIBRARY,346,LIB F MAINT/OPERATN,1005,2005,CHICAGO PUBLIC LIBRARY,3010,References and Circulation Services,0,,BX 16,20,309,Coordinator of Special Projects,Annual,1,1,66564.00,66564.00
LOCAL,91,CHICAGO PUBLIC LIBRARY,346,LIB F MAINT/OPERATN,1005,2005,CHICAGO PUBLIC LIBRARY,3010,References and Circulation Services,0,,B 12,1,303,Administrative Assistant III,Annual,1,1,45372.00,45372.00
LOCAL,91,CHICAGO PUBLIC LIBRARY,346,LIB F MAINT/OPERATN,1005,2005,CHICAGO PUBLIC LIBRARY,3010,References and Circulation Services,0,,B 12,1,303,Administrative Assistant III,Annual,1,1,60600.00,60600.00
LOCAL,91,CHICAGO PUBLIC LIBRARY,346,LIB F MAINT/OPERATN,1005,2005,CHICAGO PUBLIC LIBRARY,3010,References and Circulation Services,0,,B 12,1,303,Administrative Assistant III,Annual,1,1,66492.00,66492.00
LOCAL,91,CHICAGO PUBLIC LIBRARY,346,LIB F MAINT/OPERATN,1005,2005,CHICAGO PUBLIC LIBRARY,3010,References and Circulation Services,0,,B 10,1,302,Administrative Assistant II,Annual,1,1,43320.00,43320.00
LOCAL,91,CHICAGO PUBLIC LIBRARY,346,LIB F MAINT/OPERATN,1005,2005,CHICAGO PUBLIC LIBRARY,3010,References and Circulation Services,0,,B 10,1,302,Administrative Assistant II,Annual,1,1,45372.00,45372.00
LOCAL,91,CHICAGO PUBLIC LIBRARY,346,LIB F MAINT/OPERATN,1005,2005,CHICAGO PUBLIC LIBRARY,3010,References and Circulation Services,0,,B 10,1,302,Administrative Assistant II,Annual,1,1,48048.00,48048.00
LOCAL,91,CHICAGO PUBLIC LIBRARY,346,LIB F MAINT/OPERATN,1005,2005,CHICAGO PUBLIC LIBRARY,3010,References and Circulation Services,0,,B 10,1,302,Administrative Assistant II,Annual,1,1,50280.00,50280.00
LOCAL,91,CHICAGO PUBLIC LIBRARY,346,LIB F MAINT/OPERATN,1005,2005,CHICAGO PUBLIC LIBRARY,3010,References and Circulation Services,0,,B 10,1,302,Administrative Assistant II,Annual,3,1,55212.00,165636.00
LOCAL,91,CHICAGO PUBLIC LIBRARY,346,LIB F MAINT/OPERATN,1005,2005,CHICAGO PUBLIC LIBRARY,3010,References and Circulation Services,0,,1 0,0,15,Schedule Salary Adjustments,Annual,0,0,263978.00,263978.00
LOCAL,91,CHICAGO PUBLIC LIBRARY,346,LIB F MAINT/OPERATN,1005,2005,CHICAGO PUBLIC LIBRARY,3010,References and Circulation Services,0,,1 0,0,12,Contract Wage Increment - Prevailing Rate,Annual,0,0,0.00,0.00
LOCAL,91,CHICAGO PUBLIC LIBRARY,346,LIB F MAINT/OPERATN,1005,2005,CHICAGO PUBLIC LIBRARY,3015,Technical Services,4750,Unassigned Technical,B 6,1,1805,Stockhandler,Annual,1,1,36348.00,36348.00
LOCAL,91,CHICAGO PUBLIC LIBRARY,346,LIB F MAINT/OPERATN,1005,2005,CHICAGO PUBLIC LIBRARY,3015,Technical Services,4750,Unassigned Technical,B 6,1,1805,Stockhandler,Annual,1,1,38064.00,38064.00
LOCAL,91,CHICAGO PUBLIC LIBRARY,346,LIB F MAINT/OPERATN,1005,2005,CHICAGO PUBLIC LIBRARY,3015,Technical Services,4750,Unassigned Technical,BX 17,10,1559,Purchasing Manager,Annual,1,1,97416.00,97416.00
CDBG,50,FAMILY AND SUPPORT SERVICES,0K38,CDBG,1005,2510,HUMAN SERVICES,3520,Human Services Programs,0,,1 0,0,44,Fringe Benefits,Annual,0,0,56431.00,56431.00
LOCAL,91,CHICAGO PUBLIC LIBRARY,346,LIB F MAINT/OPERATN,1005,2005,CHICAGO PUBLIC LIBRARY,3015,Technical Services,4750,Unassigned Technical,B 9,1,665,Senior Data Entry Operator,Annual,1,1,50280.00,50280.00
LOCAL,91,CHICAGO PUBLIC LIBRARY,346,LIB F MAINT/OPERATN,1005,2005,CHICAGO PUBLIC LIBRARY,3015,Technical Services,4750,Unassigned Technical,B 9,1,665,Senior Data Entry Operator,Annual,1,1,57828.00,57828.00
LOCAL,91,CHICAGO PUBLIC LIBRARY,346,LIB F MAINT/OPERATN,1005,2005,CHICAGO PUBLIC LIBRARY,3015,Technical Services,4750,Unassigned Technical,B 9,1,665,Senior Data Entry Operator,Annual,2,1,45828.00,91656.00
LOCAL,91,CHICAGO PUBLIC LIBRARY,346,LIB F MAINT/OPERATN,1005,2005,CHICAGO PUBLIC LIBRARY,3015,Technical Services,4750,Unassigned Technical,B 9,1,665,Senior Data Entry Operator,Annual,2,1,48048.00,96096.00
LOCAL,91,CHICAGO PUBLIC LIBRARY,346,LIB F MAINT/OPERATN,1005,2005,CHICAGO PUBLIC LIBRARY,3015,Technical Services,4750,Unassigned Technical,G 7,5,579,Librarian IV,Annual,1,1,91224.00,91224.00
LOCAL,91,CHICAGO PUBLIC LIBRARY,346,LIB F MAINT/OPERATN,1005,2005,CHICAGO PUBLIC LIBRARY,3015,Technical Services,4750,Unassigned Technical,G 6,5,574,Librarian III,Annual,3,1,83640.00,250920.00
LOCAL,91,CHICAGO PUBLIC LIBRARY,346,LIB F MAINT/OPERATN,1005,2005,CHICAGO PUBLIC LIBRARY,3015,Technical Services,4750,Unassigned Technical,G 3,5,573,Library Associate,Annual,1,1,62916.00,62916.00
